"interaction","name","Score","selected","shared interaction","shared name"
"interacts-with","RPL10 (interacts-with) PRKRA","0.363270161742081","false","interacts-with","RPL10 (interacts-with) PRKRA"
"interacts-with","YWHAZ (interacts-with) SYNGAP1","0.927974688456955","false","interacts-with","YWHAZ (interacts-with) SYNGAP1"
"interacts-with","ATP2B2 (interacts-with) AVPR2","0.996436707047153","false","interacts-with","ATP2B2 (interacts-with) AVPR2"
"interacts-with","DLX4 (interacts-with) DIS3","0.756132438372159","false","interacts-with","DLX4 (interacts-with) DIS3"
"interacts-with","DIS3 (interacts-with) RBM23","0.981845820605139","false","interacts-with","DIS3 (interacts-with) RBM23"
"interacts-with","CUEDC1 (interacts-with) NFKBIA","0.953951631808126","false","interacts-with","CUEDC1 (interacts-with) NFKBIA"
"interacts-with","ATP12A (interacts-with) IRGC","0.909214208492149","false","interacts-with","ATP12A (interacts-with) IRGC"
"interacts-with","CUEDC1 (interacts-with) BIRC6","0.230950075277322","false","interacts-with","CUEDC1 (interacts-with) BIRC6"
"interacts-with","KRT38 (interacts-with) NAV1","0.973048970046133","false","interacts-with","KRT38 (interacts-with) NAV1"
"interacts-with","CUEDC1 (interacts-with) TBP","0.595849838167886","false","interacts-with","CUEDC1 (interacts-with) TBP"
"interacts-with","AHNAK2 (interacts-with) STX17","0.800205402917996","false","interacts-with","AHNAK2 (interacts-with) STX17"
"interacts-with","RAET1E (interacts-with) NCR3LG1","0.891164009883842","false","interacts-with","RAET1E (interacts-with) NCR3LG1"
"interacts-with","C1D (interacts-with) DIS3","0.783428451909591","false","interacts-with","C1D (interacts-with) DIS3"
"interacts-with","FHOD1 (interacts-with) SUOX","0.941525633539747","false","interacts-with","FHOD1 (interacts-with) SUOX"
"interacts-with","ATP2B2 (interacts-with) VAV1","0.7733511493078","false","interacts-with","ATP2B2 (interacts-with) VAV1"
"interacts-with","KLC3 (interacts-with) YWHAZ","0.99996813058427","false","interacts-with","KLC3 (interacts-with) YWHAZ"
"interacts-with","SYNE2 (interacts-with) GBP7","0.999977506925531","false","interacts-with","SYNE2 (interacts-with) GBP7"
"interacts-with","HNRNPCL1 (interacts-with) RBMXL1","0.992277945862042","false","interacts-with","HNRNPCL1 (interacts-with) RBMXL1"
"interacts-with","SCN4A (interacts-with) FZD8","0.904212447709344","false","interacts-with","SCN4A (interacts-with) FZD8"
"interacts-with","IGLL5 (interacts-with) STX17","0.999298688056103","false","interacts-with","IGLL5 (interacts-with) STX17"
"interacts-with","HIVEP2 (interacts-with) YWHAZ","0.998826898425463","false","interacts-with","HIVEP2 (interacts-with) YWHAZ"
"interacts-with","HERC1 (interacts-with) TPTE2","0.953856690177788","false","interacts-with","HERC1 (interacts-with) TPTE2"
"interacts-with","APBA2 (interacts-with) RLIM","0.793830477727449","false","interacts-with","APBA2 (interacts-with) RLIM"
"interacts-with","AVPR2 (interacts-with) SERINC1","0.984395680484274","false","interacts-with","AVPR2 (interacts-with) SERINC1"
"interacts-with","HLA-DQA1 (interacts-with) HLA-DRB5","0.967885025634712","false","interacts-with","HLA-DQA1 (interacts-with) HLA-DRB5"
"interacts-with","MAX (interacts-with) EP400","0.99939090486861","false","interacts-with","MAX (interacts-with) EP400"
"interacts-with","APBA2 (interacts-with) HERC2","0.874848404256483","false","interacts-with","APBA2 (interacts-with) HERC2"
"interacts-with","ARID2 (interacts-with) RGPD1","0.75911325959552","false","interacts-with","ARID2 (interacts-with) RGPD1"
"interacts-with","MAX (interacts-with) EPC1","0.997906068903831","false","interacts-with","MAX (interacts-with) EPC1"
"interacts-with","VPS13D (interacts-with) YWHAZ","0.99945995553255","false","interacts-with","VPS13D (interacts-with) YWHAZ"
"interacts-with","HNRNPCL1 (interacts-with) SCAF1","0.994912765814245","false","interacts-with","HNRNPCL1 (interacts-with) SCAF1"
"interacts-with","ARID2 (interacts-with) BCL7A","0.995933827900492","false","interacts-with","ARID2 (interacts-with) BCL7A"
"interacts-with","MAX (interacts-with) TRRAP","0.949124904122926","false","interacts-with","MAX (interacts-with) TRRAP"
