"alias","Matching.Attribute","name","Organism Taxon Id","querynode","represents","selected","shared name","Type"
"AIE-75|DFNB18|DFNB18A|NY-CO-37|NY-CO-38|PDZ-45|PDZ-73|PDZ-73/NY-CO-38|PDZ73|PDZD7C|ush1cpst","USH1C","USH1C","9606","true","ncbigene:10083","false","USH1C","SourceNode;gene;protein"
"ncbigene:81605|C9orf74","URM1","URM1","9606","true","entrez gene:81605","false","URM1","SourceNode;gene;protein"
"KIAA1409","UNC79","UNC79","9606","true","entrez gene:57578","false","UNC79","SourceNode;gene;protein"
"Munc13-1","UNC13A","UNC13A","9606","true","entrez gene:23025","false","UNC13A","SourceNode;gene;protein"
"NIRF|RNF107|URF2","UHRF2","UHRF2","9606","true","ncbigene:115426","false","UHRF2","SourceNode;gene;protein"
"UDPGT|UDPGT 1-3|UGT-1C|UGT1-03|UGT1.3|UGT1C","UGT1A3","UGT1A3","9606","true","ncbigene:54659","false","UGT1A3","SourceNode;gene;protein"
"ncbigene:23352|RBAF600|ZUBR1|p600","UBR4","UBR4","9606","true","uniprot:Q5T4S7-3","false","UBR4","SourceNode;gene;protein"
"HMG20","UBC","UBC","9606","true","ncbigene:7316","false","UBC","SourceNode;gene;protein"
"ncbigene:11338|U2AF65","U2AF2","U2AF2","9606","true","ncbigene:11338","false","U2AF2","SourceNode;gene;protein"
"BYK|Dtk|Etk-2|RSE|Rek|Sky|Tif","TYRO3","TYRO3","9606","true","ncbigene:7301","false","TYRO3","SourceNode;gene;protein"
"GCP-6|GCP6|MCCRP|MCPHCR","TUBGCP6","TUBGCP6","9606","true","ncbigene:85378","false","TUBGCP6","SourceNode;gene;protein"
"ncbigene:347688|bA631M21.2","TUBB8","TUBB8","9606","true","ncbigene:347688","false","TUBB8","SourceNode;gene;protein"
"H2-ALPHA","TUBA3D","TUBA3D","9606","true","entrez gene:113457","false","TUBA3D","SourceNode;gene;protein"
"TUBA2|bA408E5.3","TUBA3C","TUBA3C","9606","true","ncbigene:7278","false","TUBA3C","SourceNode;gene;protein"
"CMD1G|CMH9|CMPD4|EOMFC|HMERF|LGMD2J|MYLK5|TMD","TTN","TTN","9606","true","ncbigene:7273","false","TTN","SourceNode;gene;protein"
"TXI1","TSNAXIP1","TSNAXIP1","9606","true","ncbigene:55815","false","TSNAXIP1","SourceNode;gene;protein"
"C1orf182|SIP|SSTK-IP","TSACC","TSACC","9606","true","ncbigene:128229","false","TSACC","SourceNode;gene;protein"
"PAF350/400|PAF400|STAF40|TR-AP|Tra1|ncbigene:8295","TRRAP","TRRAP","9606","true","ensembl:ENSG00000196367","false","TRRAP","SourceNode;gene;protein"
"ALSPDC|CHAK|CHAK1|LTRPC7|LTrpC-7|TRP-PLIK","TRPM7","TRPM7","9606","true","ncbigene:54822","false","TRPM7","SourceNode;gene;protein"
"EREG1|KNP3|LTRPC2|NUDT9H|NUDT9L1|TRPC7","TRPM2","TRPM2","9606","true","entrez gene:7226","false","TRPM2","SourceNode;gene;protein"
"MAGE-d3|MAGED3","TRO","TRO","9606","true","ncbigene:7216","false","TRO","SourceNode;gene;protein"
"CMT2R|RNF86","TRIM2","TRIM2","9606","true","ncbigene:23321","false","TRIM2","SourceNode;gene;protein"
"LBA1","TRANK1","TRANK1","9606","true","ncbigene:9881","false","TRANK1","SourceNode;gene;protein"
"CAP-1|CAP1|CD40bp|CRAF1|IIAE5|LAP1","TRAF3","TRAF3","9606","true","ensembl:ENSG00000131323","false","TRAF3","SourceNode;gene;protein"
"MGC:45012|TRAP|TRAP3","TRAF2","TRAF2","9606","true","entrez gene:7186","false","TRAF2","SourceNode;gene;protein"
"TPIP","TPTE2","TPTE2","9606","true","ncbigene:93492","false","TPTE2","SourceNode;gene;protein"
"CT44|PTEN2","TPTE","TPTE","9606","true","ncbigene:7179","false","TPTE","SourceNode;gene;protein"
,"TPSD1","TPSD1",,"true","ncbigene:23430","false","TPSD1","SourceNode;gene"
"BCC7|LFS1|P53|TRP53","TP53","TP53","9606","true","ncbigene:7157","false","TP53","SourceNode;gene;protein"
"TOPIIB|top2beta","TOP2B","TOP2B","9606","true","ncbigene:7155","false","TOP2B","SourceNode;gene;protein"
"CAGH26|GW1|GW182|TNRC6","TNRC6A","TNRC6A","9606","true","ncbigene:27327","false","TNRC6A","SourceNode;gene;protein"
"CAGL79|TNRC18A","TNRC18","TNRC18","9606","true","ncbigene:84629","false","TNRC18","SourceNode;gene;protein"
,"TMUB2","TMUB2","9606","true","ncbigene:79089","false","TMUB2","SourceNode;gene;protein"
"C12orf59","TMEM52B","TMEM52B","9606","true","ncbigene:120939","false","TMEM52B","SourceNode;gene;protein"
,"TMEM45B","TMEM45B","9606","true","ncbigene:120224","false","TMEM45B","SourceNode;gene;protein"
,"TMEM216","TMEM216","9606","true","ensembl:ENSG00000187049","false","TMEM216","SourceNode;gene;protein"
"ANG1|DHCR14A|NET47","TM7SF2","TM7SF2","9606","true","ncbigene:7108","false","TM7SF2","SourceNode;gene;protein"
"C15orf42|SLD3|Treslin","TICRR","TICRR","9606","true","ensembl:ENSG00000140534","false","TICRR","SourceNode;gene;protein"
,"THAP7","THAP7","9606","true","ncbigene:80764","false","THAP7","SourceNode;gene;protein"
"TGMZ","TGM7","TGM7","9606","true","ncbigene:116179","false","TGM7","SourceNode;gene;protein"
,"TEX13A","TEX13A","9606","true","ncbigene:56157","false","TEX13A","SourceNode;gene;protein"
"CMM9|DKCA2|DKCB4|EST2|PFBMFT1|TCS1|TP2|TRT|hEST2|hTRT","TERT","TERT","9606","true","ncbigene:7015","false","TERT","SourceNode;gene;protein"
"ODZ1|ODZ3|TEN-M1|TNM|TNM1","TENM1","TENM1","9606","true","ncbigene:10178","false","TENM1","SourceNode;gene;protein"
"C14orf75|HIG-1|NET54","TDRD9","TDRD9","9606","true","ncbigene:122402","false","TDRD9","SourceNode;gene;protein"
"hTDG","TDG","TDG","9606","true","ensembl:ENSG00000139372","false","TDG","SourceNode;gene;protein"
,"TCP10","TCP10",,"true","ncbigene:6953","false","TCP10","SourceNode;protein"
"TCL1","TCL1A","TCL1A","9606","true","ncbigene:8115","false","TCL1A","SourceNode;gene;protein"
"WEX8","TCEAL3","TCEAL3","9606","true","ncbigene:85012","false","TCEAL3","SourceNode;gene;protein"
"GTF2D|GTF2D1|HDL4|SCA17|TFIID","TBP","TBP","9606","true","ncbigene:6908","false","TBP","SourceNode;gene;protein"
"TBC1D3|TBC1D3G","TBC1D3F","TBC1D3F","9606","true","ensembl:ENSG00000275954","false","TBC1D3F","SourceNode;gene;protein"
,"TBC1D29","TBC1D29",,,,"false","TBC1D29","SourceNode"
,"TAS2R46","TAS2R46",,"true","ncbigene:259292","false","TAS2R46","SourceNode;gene"
"T2R31|T2R44|T2R53|TAS2R44","TAS2R31","TAS2R31","9606","true","ncbigene:259290","false","TAS2R31","SourceNode;gene;protein"
,"TAS2R30","TAS2R30",,"true","ncbigene:259293","false","TAS2R30","SourceNode;gene"
"MSTP058|T2R19|T2R23|T2R48|TAS2R23|TAS2R48","TAS2R19","TAS2R19","9606","true","ncbigene:259294","false","TAS2R19","SourceNode;gene;protein"
"SCL|TCL5|bHLHa17|tal-1","TAL1","TAL1","9606","true","ncbigene:6886","false","TAL1","SourceNode;gene;protein"
"TAF2A2","TAF1L","TAF1L","9606","true","ncbigene:138474","false","TAF1L","SourceNode;gene;protein"
